QuickSortEnd;QuickSortMiddle;QuickSortRandom;
0.0221;0.038439999999999995;0.04604;
1.2764399999999998;2.5777000000000005;1.50182;
3.31894;5.135260000000001;3.3860799999999998;
5.3797;8.422839999999999;5.710039999999999;
8.62048;11.927620000000001;8.71858;
10.80376;12.33796;11.912540000000002;
15.932419999999999;11.19022;20.39548;
19.7953;13.424240000000001;44.923019999999994;
21.078799999999998;16.23694;37.90614;
25.014739999999996;24.04954;56.17582;
30.307679999999998;36.00582000000001;69.61041999999999;
33.579299999999996;53.24678;85.23044;
49.99472;61.330420000000004;69.61568;
57.71698;66.83982;85.05426;
87.95586;45.1549;82.31514;
77.66026;45.64582;100.36789999999999;
75.30301999999999;71.8284;99.87178000000002;
91.64998;63.62528;102.3533;
127.88472000000002;58.256499999999996;109.23119999999999;
123.39020000000001;44.80188;170.86605999999998;
