FullyRand;Increasing;Decreasing;Constant;Dale;
0.00106;0.0006000000000000001;0.0006000000000000001;0.0005200000000000001;0.0008200000000000001;
0.54654;0.3734;0.47598;0.34978000000000004;0.41093999999999997;
1.59934;1.5021600000000002;1.70816;1.3850799999999999;1.7391;
3.6858400000000002;3.14642;3.59268;3.4527200000000002;3.27868;
5.67544;5.60184;6.313180000000001;5.5425;5.72992;
8.88392;8.65356;9.58228;8.5624;8.97514;
13.22848;12.65642;13.82158;12.545620000000001;13.01176;
17.24546;18.56248;18.2605;17.809440000000002;17.27824;
22.474619999999998;23.941439999999997;23.74466;22.5137;22.81848;
29.426319999999997;28.836759999999998;29.50938;28.009860000000003;28.71522;
35.3093;35.45352;36.65784;34.68026;35.21494;
43.60112;42.81624000000001;44.27286;43.865480000000005;43.05718;
49.897859999999994;49.99592;51.958000000000006;51.254819999999995;51.38062;
59.3867;61.22934;60.5801;58.443;60.25996;
71.3635;70.34315999999998;69.30608000000001;66.73266;69.2003;
78.67944;77.67296;79.6848;77.60231999999999;78.05944;
90.04693999999998;87.9312;90.42623999999999;89.01442;88.42624;
100.89702;100.40234000000001;101.90338;98.77532;99.44298;
116.68798;110.44482;113.18904;110.65936000000002;112.49508;
128.887;124.04866;127.08081999999999;123.77673999999999;124.12181999999999;
