FullyRand;Increasing;Decreasing;Constant;Dale;
0.00198;0.006959999999999999;0.00244;0.00116;0.00676;
0.1584;0.66026;0.16762000000000002;0.03012;0.49463999999999997;
0.31288;1.13692;0.3868;0.051019999999999996;1.27896;
0.43088;1.81206;0.58546;0.08424;1.45692;
0.6593200000000001;1.71706;0.84712;0.10256000000000001;0.9743200000000002;
0.8593399999999999;1.45092;2.15484;0.1258;1.1509;
0.9208399999999999;3.19564;4.05504;0.1523;3.1944599999999994;
1.11638;3.57586;4.40274;0.17736000000000002;3.949600000000001;
2.02224;4.198640000000001;4.86122;0.24512;2.67018;
5.47386;6.0051000000000005;5.783379999999999;0.22488000000000002;4.84518;
7.627979999999999;6.21066;7.029820000000001;0.28212000000000004;5.63398;
5.1989;7.364140000000001;7.56438;0.27826;7.11516;
9.701740000000001;6.15172;4.877000000000001;0.49078;6.861320000000001;
9.345020000000002;6.152699999999999;7.553479999999999;0.63768;5.240679999999999;
9.72342;7.9229;9.54306;0.93118;7.8922799999999995;
11.30058;9.681519999999999;9.613240000000001;0.9548;7.5365600000000015;
12.2122;7.721180000000001;8.68768;1.09104;10.569719999999998;
14.434480000000002;9.820419999999999;4.47842;1.13036;11.8733;
15.18256;10.515539999999998;4.96856;1.2273599999999998;12.4954;
15.837;7.0549800000000005;4.97726;1.3638800000000002;8.08904;
