Insertion Sort;Selection Sort;Heap Sort;Counting Sort;Merge Sort;Quick Sort;Shell Sort
0.0015;0.0019;0.0054;0.0022;0.0114;0.0025;0.0019;
0.001;0.0021;0.0041;0.0017;0.0199;0.0024;0.0016;
0.0014;0.0016;0.0048;0.0018;0.0063;0.0019;0.0017;
0.0011;0.0019;0.0032;0.0035;0.0041;0.0022;0.0014;
0.0015;0.002;0.0033;0.0016;0.0043;0.0018;0.0014;
0.001;0.0021;0.0037;0.0018;0.003;0.0018;0.0012;
0.0012;0.0017;0.0026;0.0012;0.0029;0.0015;0.0014;
0.0014;0.0019;0.0033;0.0015;0.0037;0.0023;0.0018;
0.0014;0.0018;0.0036;0.0017;0.0037;0.002;0.002;
0.001;0.0015;0.0027;0.0013;0.0099;0.0015;0.0012;
0.0009;0.0014;0.0027;0.001;0.0028;0.0015;0.0011;
