FullyRand;Increasing;Decreasing;Constant;Dale;
0.005300000000000001;0.00818;0.0052;0.006240000000000001;0.0042;
0.25349999999999995;0.29166;0.19702;0.29212000000000005;0.13412;
0.5422;0.59352;0.44598000000000004;0.39042;0.28312;
0.74182;0.88886;0.5934200000000001;0.6723399999999999;0.41402;
1.0010999999999999;1.4040199999999998;0.7896799999999999;0.6336999999999999;0.50808;
1.29886;1.4473399999999998;0.97926;0.57588;0.68062;
1.76846;1.8690000000000002;1.05138;0.4694;0.77844;
1.87958;2.3635400000000004;1.31004;0.53398;0.9610800000000002;
2.10302;2.34678;1.59472;0.6333;1.08164;
4.0222;2.1254800000000005;1.7869200000000003;1.2259600000000002;1.23852;
4.46988;1.9696399999999996;2.0404600000000004;1.2630599999999998;1.3368600000000002;
3.69714;1.29306;2.0465400000000002;1.4566000000000001;1.5933;
5.43886;3.4713000000000003;2.34128;1.54544;1.5818999999999999;
5.6550400000000005;4.391920000000001;2.58128;1.7173200000000002;1.7866199999999999;
6.2785;4.0749200000000005;2.6965999999999997;1.79878;1.8173000000000001;
6.94568;2.94842;2.8812399999999996;2.10172;2.0419799999999997;
7.9428399999999995;3.0352;1.9115199999999999;2.01228;2.02948;
7.99048;2.8817999999999997;5.380999999999999;2.28828;2.2829800000000002;
5.8204;3.10574;3.97604;2.25206;2.4817600000000004;
6.248779999999999;3.6047399999999996;5.4039;2.4860599999999997;2.52454;
