FullyRand;Increasing;Decreasing;Constant;Dale;
0.00162;0.00030000000000000003;0.0005200000000000001;0.00032;0.00046;
0.23828;0.00258;0.44806;0.00256;0.25386;
0.8602000000000001;0.004919999999999999;1.78598;0.00498;0.90958;
2.0087599999999997;0.007160000000000001;4.02136;0.007200000000000001;1.95464;
3.54692;0.01208;7.280680000000001;0.0101;3.8821799999999995;
6.1221000000000005;0.03632;13.83266;0.01182;5.5744;
8.15444;0.05474;27.424379999999996;0.01424;17.68048;
11.030779999999998;0.04204;21.933020000000003;0.02222;20.853900000000003;
14.978539999999999;0.08604;29.18768;0.01874;34.735580000000006;
18.41122;0.0501;36.438280000000006;0.021140000000000003;45.65628;
22.6143;0.05804;45.456959999999995;0.025980000000000003;39.139920000000004;
27.261039999999998;0.03763999999999999;71.44576;0.03076;38.12234;
40.99356;0.04490000000000001;105.02618;0.02802;41.43682;
46.190720000000006;0.04254;81.6926;0.0419;53.22894;
49.85776;0.06402;87.14864;0.035339999999999996;43.8078;
50.90186;0.08254000000000002;115.98348000000001;0.039060000000000004;62.26976;
57.016920000000006;0.0895;117.65158;0.0373;56.596500000000006;
79.03506;0.09712000000000001;134.51258;0.04788;63.07932000000001;
103.48589999999999;0.06063999999999999;167.99456;0.04194;72.15966;
88.8256;0.04422;164.37369999999999;0.04888;84.47558;
